scope,market,edge_cutoff,bets,wins,losses,pushes,win_pct,roi_pct_at_minus_110,wilson_95_low_pct,weeks_0_7_roi_pct,weeks_8_plus_roi_pct
FBS-FBS,Over,3.0,427,195,232,0,45.67,-12.82,41.0,-10.16,-15.67
FBS-FBS,Over,3.5,412,191,221,0,46.36,-11.5,41.6,-8.54,-14.72
FBS-FBS,Over,4.0,390,180,210,0,46.15,-11.89,41.27,-9.18,-14.92
FBS-FBS,Over,4.5,371,172,199,0,46.36,-11.49,41.35,-10.33,-12.82
FBS-FBS,Over,5.0,348,155,193,0,44.54,-14.97,39.41,-14.81,-15.15
FBS-FBS,Over,5.5,334,151,183,0,45.21,-13.69,39.96,-12.54,-15.01
FBS-FBS,Over,6.0,321,144,177,0,44.86,-14.36,39.51,-12.82,-16.15
FBS-FBS,Over,6.5,306,137,169,0,44.77,-14.53,39.3,-13.02,-16.39
FBS-FBS,Over,7.0,290,131,159,0,45.17,-13.76,39.54,-11.8,-16.12
FBS-FBS,Over,7.5,269,121,148,0,44.98,-14.13,39.15,-12.08,-16.78
FBS-FBS,Over,8.0,254,116,138,0,45.67,-12.81,39.65,-11.36,-14.59
FBS-FBS,Over,8.5,238,108,130,0,45.38,-13.37,39.18,-10.33,-17.15
FBS-FBS,Over,9.0,218,101,117,0,46.33,-11.55,39.83,-9.09,-14.92
FBS-FBS,Over,9.5,204,95,109,0,46.57,-11.1,39.85,-9.4,-13.42
FBS-FBS,Over,10.0,190,89,101,0,46.84,-10.57,39.88,-8.08,-13.86
FBS-FBS,Over,10.5,179,83,96,0,46.37,-11.48,39.22,-9.27,-14.34
FBS-FBS,Over,11.0,173,80,93,0,46.24,-11.72,38.98,-8.44,-16.0
FBS-FBS,Over,11.5,163,76,87,0,46.63,-10.99,39.13,-7.62,-15.45
FBS-FBS,Over,12.0,155,70,85,0,45.16,-13.78,37.54,-11.05,-17.37
FBS-FBS,Under,0.5,262,126,136,0,48.09,-8.19,42.11,-7.62,-8.7
FBS-FBS,Under,1.0,250,119,131,0,47.6,-9.13,41.49,-6.19,-11.67
FBS-FBS,Under,1.5,234,114,120,0,48.72,-6.99,42.39,-5.41,-8.43
FBS-FBS,Under,2.0,227,109,118,0,48.02,-8.33,41.61,-6.28,-10.26
FBS-FBS,Under,2.5,219,105,114,0,47.95,-8.47,41.42,-7.22,-9.66
FBS-FBS,Under,3.0,197,96,101,0,48.73,-6.97,41.84,-5.55,-8.29
FBS-FBS,Under,3.5,181,88,93,0,48.62,-7.18,41.44,-2.33,-11.58
FBS-FBS,Under,4.0,169,82,87,0,48.52,-7.37,41.1,-1.01,-13.22
FBS-FBS,Under,4.5,162,77,85,0,47.53,-9.26,39.99,-3.31,-14.65
FBS-FBS,Under,5.0,150,72,78,0,48.0,-8.36,40.15,1.07,-16.19
FBS-FBS,Under,5.5,141,65,76,0,46.1,-11.99,38.08,-0.14,-22.13
FBS-FBS,Under,6.0,133,60,73,0,45.11,-13.88,36.91,-2.98,-23.11
FBS-FBS,Under,6.5,120,54,66,0,45.0,-14.09,36.39,-4.55,-22.44
FBS-FBS,Under,7.0,110,50,60,0,45.45,-13.22,36.46,1.07,-25.58
FBS-FBS,Under,7.5,101,45,56,0,44.55,-14.94,35.24,-2.6,-26.57
FBS-FBS,Under,8.0,92,41,51,0,44.57,-14.92,34.83,-2.51,-27.88
FBS-FBS,Under,8.5,84,38,46,0,45.24,-13.64,35.04,0.0,-27.27
FBS-FBS,Under,9.0,77,36,41,0,46.75,-10.74,36.03,5.5,-26.57
FBS-FBS,Under,9.5,73,34,39,0,46.58,-11.08,35.59,9.09,-29.67
FBS-FBS,Under,10.0,64,30,34,0,46.88,-10.51,35.18,20.91,-38.24
FBS-FBS,Under,10.5,61,28,33,0,45.9,-12.37,34.01,18.5,-40.34
FBS-FBS,Under,11.0,58,27,31,0,46.55,-11.13,34.33,18.5,-40.75
FBS-FBS,Under,11.5,50,22,28,0,44.0,-16.0,31.16,14.55,-46.55
FBS-FBS,Under,12.0,45,20,25,0,44.44,-15.15,30.94,7.91,-39.26
